종명,접수일시,도로유형,도로명
삵,2021-03-02,국도,22
너구리,2021-03-02,국도,3
너구리,2021-03-03,국도,31
고양이,2021-03-03,국도,32
개,2021-03-03,국도,22
고양이,2021-03-03,국도,23
고라니,2021-03-03,국도,22
미동정(포유류),2021-03-03,국도,42
고라니,2021-03-03,국도,3
너구리,2021-03-03,국도,28
개,2021-03-03,국도,43
미동정(포유류),2021-03-03,국도,30
개,2021-03-04,국도,23
고라니,2021-03-04,국도,45
너구리,2021-03-04,국도,1
고양이,2021-03-04,국도,25
미동정(포유류),2021-03-04,국도,7
고양이,2021-03-04,국도,4
고양이,2021-03-04,국도,36
고양이,2021-03-04,국도,25
고라니,2021-03-04,국도,23
너구리,2021-03-04,국도,45
오소리,2021-03-04,국도,45
개,2021-03-04,국도,43
고양이,2021-03-04,국도,42
미동정,2021-03-04,국도,42
고양이,2021-03-05,국도,25
고양이,2021-03-05,국도,3
미동정(포유류),2021-03-05,국도,7
족제비,2021-03-05,국도,30
고라니,2021-03-05,국도,33
노루,2021-03-06,국도,38
너구리,2021-03-06,국도,38
너구리,2021-03-07,국도,7
미동정(포유류),2021-03-08,국도,35
고양이,2021-03-08,국도,33
고양이,2021-03-08,국도,3
고라니,2021-03-08,국도,23
고양이,2021-03-08,국도,38
미동정(포유류),2021-03-08,국도,3
미동정(포유류),2021-03-08,국도,4
너구리,2021-03-08,국도,25
족제비,2021-03-08,국도,38
미동정(포유류),2021-03-08,국도,30
고양이,2021-03-09,국도,38
고양이,2021-03-09,국도,30
고양이,2021-03-09,국도,40
고양이,2021-03-09,국도,26
고양이,2021-03-09,국도,39
미동정(포유류),2021-03-09,국도,38
개,2021-03-09,국도,30
미동정(포유류),2021-03-09,국도,28
고양이,2021-03-10,국도,6
족제비,2021-03-10,국도,25
고양이,2021-03-10,국도,7
고양이,2021-03-10,국도,38
미동정(포유류),2021-03-10,국도,13
너구리,2021-03-10,국도,13
너구리,2021-03-10,국도,24
너구리,2021-03-11,국도,44
고양이,2021-03-11,국도,22
개,2021-03-11,국도,1
미동정(포유류),2021-03-11,국도,4
족제비,2021-03-11,국도,29
삵,2021-03-11,국도,29
고라니,2021-03-12,국도,1
고라니,2021-03-12,국도,3
고라니,2021-03-12,국도,3
미동정(포유류),2021-03-12,국도,19
개,2021-03-12,국도,1
미동정(포유류),2021-03-13,국도,13
고라니,2021-03-14,국도,38
미동정(포유류),2021-03-14,국도,19
미동정(포유류),2021-03-14,국도,30
너구리,2021-03-15,국도,35
고양이,2021-03-15,국도,43
미동정(포유류),2021-03-15,국도,1
너구리,2021-03-15,국도,31
고라니,2021-03-15,국도,23
고양이,2021-03-15,국도,3
너구리,2021-03-15,국도,24
너구리,2021-03-15,국도,22
고양이,2021-03-15,국도,30
고양이,2021-03-15,국도,7
고양이,2021-03-15,국도,13
고라니,2021-03-15,국도,31
고양이,2021-03-15,국도,19
고양이,2021-03-15,국도,19
너구리,2021-03-15,국도,38
고라니,2021-03-15,국도,13
미동정(포유류),2021-03-15,국도,42
고라니,2021-03-15,국도,1
고양이,2021-03-15,국도,13
미동정(포유류),2021-03-15,국도,19
족제비,2021-03-16,국도,25
고양이,2021-03-16,국도,32
고라니,2021-03-16,국도,22
너구리,2021-03-16,국도,7
