종명,접수일시,도로유형,도로명
너구리,2019-12-24,고속국도(재정),서해안고속도로
고양이,2019-12-24,국도,46
고양이,2019-12-24,국도,일반국도1호선
고라니,2019-12-24,국도,6
너구리,2019-12-24,국도,일반국도1호선
고양이,2019-12-24,국도,일반국도1호선
고양이,2019-12-24,고속국도(재정),당진영덕고속도로
개,2019-12-24,고속국도(재정),당진영덕고속도로
고라니,2019-12-24,국도,일반국도3호선
고라니,2019-12-24,국도,일반국도25호선
고라니,2019-12-24,국도,대청로
고양이,2019-12-24,국도,일반국도1호선
고라니,2019-12-24,국도,서해로
고라니,2019-12-24,고속국도(재정),당진영덕고속도로
고라니,2019-12-24,국도,중부로
너구리,2019-12-24,국도,일반국도19호선
고라니,2019-12-24,국도,일반국도3호선
미동정(포유류),2019-12-24,국도,일반국도36호선
고양이,2019-12-24,국도,일반국도36호선
고라니,2019-12-24,시도,영주국도대체우회도로
노루,2019-12-24,지방도,지방도1118호선
고라니,2019-12-24,국도,일반국도3호선
고라니,2019-12-24,지방도,음봉로
고라니,2019-12-24,국도,일반국도23호선
고라니,2019-12-24,국도,일반국도33호선
노루,2019-12-24,지방도,지방도1131호선
미동정(조류),2019-12-24,국도,일반국도20호선
고라니,2019-12-24,국도,경강로
고라니,2019-12-24,지방도,지방도649호선
미동정(포유류),2019-12-24,지방도,지방도1041호선
고라니,2019-12-24,국도,일반국도38호선
고라니,2019-12-23,고속국도(재정),부산외곽순환고속도로
고라니,2019-12-23,국도,일반국도36호선
고라니,2019-12-23,지방도,지방도633호선
고양이,2019-12-23,국도,지방도60호선
고라니,2019-12-23,국도,대청로
고라니,2019-12-23,국도,일반국도1호선
고라니,2019-12-23,국도,일반국도34호선
너구리,2019-12-23,국도,난계로
고양이,2019-12-23,국도,구성지례로
고라니,2019-12-23,국도,국도34호선
고양이,2019-12-23,국도,일반국도58호선
고라니,2019-12-23,국도,난계로
개,2019-12-23,지방도,솔안말길
고라니,2019-12-23,국도,일반국도38호선
고라니,2019-12-23,국도,일반국도38호선
고라니,2019-12-23,국도,난계로
고양이,2019-12-23,고속국도(재정),영동고속도로
고양이,2019-12-23,고속국도(재정),영동고속도로
삵,2019-12-23,국도,일반국도34호선
고양이,2019-12-23,국도,일반국도3호선
개,2019-12-23,고속국도(재정),영동고속도로
너구리,2019-12-23,고속국도(재정),영동고속도로
고라니,2019-12-23,국도,46
고양이,2019-12-23,고속국도(재정),영동고속도로
삵,2019-12-23,고속국도(재정),영동고속도로
쇠기러기,2019-12-23,지방도,지방도633호선
고라니,2019-12-23,국도,일반국도14호선
고양이,2019-12-23,지방도,고원남로
고라니,2019-12-23,국도,국도34호선
고양이,2019-12-23,국도,46
고라니,2019-12-23,국도,일반국도38호선
고라니,2019-12-23,국도,문경대로
고라니,2019-12-23,지방도,일반국도32호선
고라니,2019-12-23,국도,일반국도17호선
너구리,2019-12-23,국도,일반국도4호선
고라니,2019-12-23,국도,일반국도20호선
고라니,2019-12-23,국도,일반국도13호선
고양이,2019-12-23,시도,무수동로
너구리,2019-12-23,국도,강원남로
고라니,2019-12-23,국도,일반국도34호선
고라니,2019-12-23,국도,일반국도13호선
고라니,2019-12-23,국도,일반국도13호선
고라니,2019-12-23,국도,일반국도13호선
미동정(포유류),2019-12-23,국도,일반국도25호선
고양이,2019-12-23,국도,일반국도13호선
개,2019-12-23,국도,일반국도13호선
고라니,2019-12-23,국도,남순환로
고양이,2019-12-23,국도,일반국도3호선
고라니,2019-12-23,국도,일반국도1호선
고라니,2019-12-23,국도,대백제로
고라니,2019-12-23,국도,일반국도13호선
고양이,2019-12-23,국도,6
삵,2019-12-23,국도,대청로
고라니,2019-12-23,국도,일반국도3호선
고라니,2019-12-23,국도,일반국도20호선
고라니,2019-12-23,국도,일반국도3호선
고라니,2019-12-23,국도,일반국도34호선
고라니,2019-12-23,지방도,합덕산단4로
고라니,2019-12-23,국도,일반국도3호선
고라니,2019-12-23,국도,일반국도19호선
고라니,2019-12-23,국도,일반국도34호선
고라니,2019-12-23,국도,진고개로
고라니,2019-12-23,국도,일반국도4호선
개,2019-12-23,국도,일반국도39호선
고양이,2019-12-23,지방도,지방도649호선
고양이,2019-12-23,국도,일반국도36호선
염소,2019-12-23,국도,가야로
고양이,2019-12-23,국도,지방도60호선
삵,2019-12-23,국도,강원남로
고라니,2019-12-22,국도,일반국도4호선
고라니,2019-12-22,국도,일반국도19호선
고양이,2019-12-22,지방도,대호만로
개,2019-12-22,국도,강원남로
고라니,2019-12-22,국도,일반국도59호선
고라니,2019-12-22,국도,모악로
고라니,2019-12-22,국도,일반국도17호선
고라니,2019-12-22,국도,영남대로
고양이,2019-12-22,국도,영남대로
고라니,2019-12-22,국도,일반국도17호선
고라니,2019-12-22,국도,일반국도17호선
고라니,2019-12-22,국도,일반국도27호선
고라니,2019-12-22,국도,일반국도1호선
고라니,2019-12-22,국도,예당평야로
고라니,2019-12-22,국도,예당평야로
고라니,2019-12-22,고속국도(재정),당진영덕고속도로
삵,2019-12-22,국도,파인토피아로
너구리,2019-12-22,국도,합천대로
고양이,2019-12-22,국도,일반국도34호선
삵,2019-12-22,국도,파인토피아로
고라니,2019-12-22,국도,북부산업로
고라니,2019-12-22,국도,북부산업로
고양이,2019-12-22,국도,일반국도38호선
노루,2019-12-22,지방도,지방도1117호선
고양이,2019-12-22,국도,합천대로
고라니,2019-12-22,국도,일반국도38호선
고라니,2019-12-22,고속국도(재정),당진영덕고속도로
고라니,2019-12-22,고속국도(재정),대전남부순환고속도로
고라니,2019-12-22,고속국도(재정),통영대전고속도로
고양이,2019-12-21,국도,39
개,2019-12-21,국도,3
미동정(포유류),2019-12-21,지방도,지방도633호선
고양이,2019-12-21,시도,서정2길
고라니,2019-12-21,국도,일반국도5호선
너구리,2019-12-21,국도,합천대로
고양이,2019-12-21,국도,6
고라니,2019-12-21,국도,44
미동정(포유류),2019-12-21,고속국도(재정),영동고속도로
고라니,2019-12-21,국도,섬진강대로
고라니,2019-12-21,국도,일반국도27호선
고라니,2019-12-21,지방도,지방도510호선
